"street_label","street_type","total_trees","total_length","n_segments","density"
"0-100 E 59TH AV","Public",20,305.575653831288,3,6.54502403880717
"100 W KING EDWARD AV","Public",20,189.41912864579,1,10.5585957146913
"1100 E 29TH AV","Public",20,186.918650295929,4,10.6998418661466
"1100 W 7TH AV","Public",20,172.026854869082,1,11.6260917606269
"1600 W 64TH AV","Public",20,222.280420416303,1,8.99764359026427
"1700 W 3RD AV","Public",20,175.763798975111,1,11.3789074409071
"1900 W 7TH AV","Public",20,174.135949553312,1,11.4852792035782
"2400 E 22ND AV","Public",20,149.569875335036,2,13.3716765860773
"2600 E 28TH AV","Public",20,168.472220968593,2,11.8713933282381
"2700 E 22ND AV","Public",20,176.57219264576,2,11.3268118271171
"2700 W 30TH AV","Public",20,184.377600683615,1,10.8473046215192
"2800 OXFORD ST","Public",20,190.39200344101,2,10.5046428623756
"3100-3200 E 46TH AV","Public",20,156.209834748342,1,12.8032911834396
"3800 W 37TH AV","Public",20,200.052425132226,1,9.99737943030727
"400 W 63RD AV","Public",20,171.370280762862,3,11.6706350196598
"4600-4700 HAGGART ST","Public",20,232.727711308103,2,8.59373380487658
"4800 ARGYLE ST","Public",20,163.965370442437,1,12.1976975662806
"4800 COMMERCIAL ST","Public",20,164.75413923079,2,12.1393004712214
"5100-5200 HOY ST","Public",20,220.263942194289,1,9.08001545816268
"5300-5400 BAILLIE ST","Public",20,206.118527579986,1,9.70315489578628
"8300-8500 OSLER ST","Public",20,251.247054528531,2,7.96029232562759
"0 E 23RD AV","Public",19,150.029066205027,1,12.6642126626549
"1200 E 19TH AV","Public",19,139.74204434924,1,13.596480635789
"1600 W 3RD AV","Public",19,171.97419550247,1,11.0481691421706
"1800 W 7TH AV","Public",19,172.114011115388,2,11.0391942392547
"1900 W 8TH AV","Public",19,174.211624822339,1,10.906275639973
"2000 E 25TH AV","Public",19,171.650685824011,2,11.0689916027951
"2500 W 16TH AV","Public",19,165.520228451294,1,11.47895950711
"2600 TURNER ST","Public",19,190.541845099665,3,9.97156293414806
"2800 E 48TH AV","Public",19,151.662765437673,1,12.5277947722826
"300 E 17TH AV","Public",19,140.464706067896,1,13.5265295687986
"3300-3400 W 39TH AV","Public",19,239.833980860127,1,7.92214678331213
"3600 E 46TH AV","Public",19,168.760376578433,4,11.2585669605742
"3900 RUPERT ST","Public",19,99.0429148263961,1,19.1836034241354
"400 E 50TH AV","Public",19,250.098716005329,1,7.59700021794401
"500 E 18TH AV","Public",19,140.365925964445,2,13.5360486310707
"5500-5600 ARGYLE ST","Public",19,231.3091500574,2,8.21411517671699
"6100-6200 LARCH ST","Public",19,206.83609499537,3,9.18601755676413
"7100-7200 INVERNESS ST","Public",19,161.699117962826,2,11.7502187021008
"900-1000 E 53RD AV","Public",19,167.339526258483,1,11.3541614613223
"0 W 37TH AV","Public",18,175.956891603851,1,10.2297783485089
"1100 E PENDER ST","Public",18,152.496999560921,1,11.8035109227242
"1700 E 34TH AV","Public",18,200.507203235789,1,8.97723359037266
"1800 CHARLES ST","Public",18,140.69539201132,1,12.7935959683397
"1800 W 8TH AV","Public",18,128.682670932665,1,13.987897414267
"200 E 21ST AV","Public",18,162.952620976769,2,11.0461555586554
"2000 W 35TH AV","Public",18,189.045767008821,1,9.52150385845992
"2000 WALL ST","Public",18,255.169953314859,2,7.05412207282473
"2700 E 44TH AV","Public",18,152.786919195552,1,11.7811132620338
"2800 CAMBRIDGE ST","Public",18,190.575727091204,1,9.4450643189128
"2900 E 15TH AV","Public",18,199.042846677674,2,9.04327902280698
"3100 RUPERT ST","Public",18,93.2078149525535,2,19.3116854087425
"3100 W 12TH AV","Public",18,140.458411148447,1,12.8151812716835
"400 W 33RD AV","Public",18,87.8832302450842,1,20.4817232477715
"4900 MOSS ST","Public",18,192.547414375756,1,9.3483467738876
"4900-5000 PRINCE ALBERT ST","Public",18,223.789715685825,2,8.04326505569627
"5700-5800 BALSAM ST","Public",18,206.58261392294,2,8.71322114585811
"6000-6100 RUPERT ST","Public",18,313.897843979177,1,5.73434967625774
"6500-6600 LANARK ST","Public",18,211.193601117866,2,8.52298549990362
"6500-6600 MARGUERITE ST","Public",18,241.745433383324,2,7.44584902725268
"6600-6900 CAMBIE ST","Public",18,383.925219294332,3,4.68841302821539
"700 E 6TH AV","Public",18,141.947536752318,1,12.6807413582724
"900 E 11TH AV","Public",18,140.414301560276,1,12.8192070180779
"1000 E 10TH AV","Public",17,140.362331069906,1,12.1115115931876
"1100 DAVIE ST","Public",17,220.919625143016,1,7.69510630347791
"1300 E 19TH AV","Public",17,140.395363232264,1,12.1086620018041
"1300 PACIFIC BOULEVARD","Public",17,168.970419189028,1,10.0609326067789
"1300 W 8TH AV","Public",17,172.054403479404,1,9.8805957047388
"1400 W 59TH AV","Public",17,174.231058285084,2,9.75715820550426
"1400 W 64TH AV","Public",17,148.320885386887,2,11.4616360033561
"1500 W 32ND AV","Public",17,232.18423108214,3,7.32177199147769
"200 E 17TH AV","Public",17,204.126961861855,3,8.32815020854762
"200-300 E 62ND AV","Public",17,302.454904387944,2,5.62067262040325
"2000 W 46TH AV","Public",17,214.650437696122,2,7.91985340559458
"2200 E 53RD AV","Public",17,234.307113265956,3,7.25543487051703
"2200 W 41ST AV","Public",17,102.239534270671,1,16.6276187790468
"2200 WILLIAM ST","Public",17,140.35962634572,1,12.1117449815143
"2800 E 2ND AV","Public",17,197.895865427343,2,8.59037654136412
"3000-3100 W 44TH AV","Public",17,200.012911259845,1,8.49945130687817
"3300 AUSTREY AV","Public",17,149.455882815965,1,11.3745940806715
"3600 WELLINGTON AV","Public",17,228.757840296383,5,7.43143928005898
"3600-3700 W 18TH AV","Public",17,210.391769991867,2,8.08016397250574
"3900 W 21ST AV","Public",17,200.745998371469,1,8.46841288887985
"400 E 60TH AV","Public",17,267.52487192841,2,6.35454934618161
"4400 CAMOSUN ST","Public",17,209.023220400783,4,8.13306768855825
"4700 DUMFRIES ST","Public",17,150.860274373556,1,11.2687054763702
"500 W 19TH AV","Public",17,225.990824361131,2,7.52242930572888
"500 W 63RD AV","Public",17,223.731247469186,2,7.59840218668667
"5900-6000 LARCH ST","Public",17,206.902024431164,2,8.21644932993676
"600 E 11TH AV","Public",17,140.528819364321,1,12.097162757717
"6100-6200 DUMFRIES ST","Public",17,201.313160594548,1,8.44455471753215
"700 E 11TH AV","Public",17,140.394546202142,2,12.1087324685128
"700-800 W 47TH AV","Public",17,224.480400477872,1,7.57304422293018
"7800-7900 OSLER ST","Public",17,204.310902910958,2,8.32065237722967
"8300-8500 CARTIER ST","Public",17,250.860955287203,2,6.77666238675413
"0 E 7TH AV","Public",16,140.451107855147,1,11.3918645743268
"100 W 14TH AV","Public",16,188.452891416537,1,8.49018546743082
